Semester,Course Subject,Course Number,Course Title,Course Section,Sched Type,Primary Instructor,Term,CRN,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Standard Deviation,% 4.0's
Fall 2016,AAS,100,Intro Asian American Studies,,,"Chung, Ga Young",,41758,10,15,3,1,0,0,1,0,0,0,0,0,0,0,3.89,,
Fall 2016,AAS,100,Intro Asian American Studies,,,"Chung, Ga Young",,47100,7,12,1,5,1,0,0,1,1,0,0,0,0,0,3.68,,
Fall 2016,AAS,100,Intro Asian American Studies,,,"Lee, Jean Y",,47102,6,4,6,3,1,1,0,0,1,0,0,0,0,0,3.61,,
Fall 2016,AAS,100,Intro Asian American Studies,,,"Lee, Jean Y",,51248,9,6,7,3,1,0,2,0,0,1,0,0,0,0,3.61,,
Fall 2016,AAS,100,Intro Asian American Studies,,,"Atienza, Paul Michael L",,51249,4,18,2,1,3,0,1,0,1,0,0,1,1,0,3.51,,
Fall 2016,AAS,100,Intro Asian American Studies,,,"Atienza, Paul Michael L",,51932,2,15,3,0,3,2,1,2,1,0,0,0,0,0,3.49,,
Fall 2016,AAS,246,Asian American Youth in Film,,,"Kwon, Soo Ah",,66200,0,27,4,0,1,0,0,0,0,0,0,0,0,0,3.93,,
Fall 2016,AAS,258,Muslims in America,,,"Rana, Junaid",,58913,0,22,5,1,0,0,0,0,0,0,0,0,0,1,3.92,,
Fall 2016,ABE,100,Intro Agric & Biological Engrg,,,"Green, Angela R",,31263,0,30,0,0,11,0,0,1,0,0,0,0,0,0,3.69,,
Fall 2016,ABE,223,ABE Principles: Machine Syst,,,"Grift, Tony E",,58927,1,28,2,1,6,2,0,0,0,0,0,0,0,0,3.75,,
Fall 2016,ABE,224,ABE Principles: Soil & Water,,,"Bhattarai, Rabin",,58931,1,33,9,3,2,0,0,0,0,0,0,0,1,0,3.78,,
Fall 2016,ABE,430,Project Management,,,"Davidson, Paul C",,64779,0,104,7,0,1,0,0,0,0,0,0,0,1,0,3.94,,
Fall 2016,ABE,466,Engineering Off-Road Vehicles,,,"Hansen, Alan C",,31280,3,6,8,7,2,0,2,0,0,0,0,0,0,0,3.55,,
Fall 2016,ABE,488,Bioprocessing Biomass for Fuel,,,"Singh, Vijay",,57478,6,14,4,2,3,0,0,0,0,0,0,0,0,0,3.8,,
Fall 2016,ACCY,200,Fundamentals of Accounting,,,"Silhan, Peter A",,29670,4,93,57,32,57,22,20,17,4,3,4,2,1,0,3.26,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Chen, Monica S",,36478,8,4,8,3,4,3,3,2,3,0,3,0,1,0,3.01,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Chen, Monica S",,36482,1,0,3,1,2,3,4,3,1,0,3,0,4,0,2.09,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Coady, Jennifer J",,36484,4,2,7,4,2,1,2,3,1,0,1,0,1,0,3.04,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Gebhardt, Abbey L",,36486,3,5,3,0,4,2,2,3,1,0,2,0,2,0,2.77,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Jones, Brock A",,36487,5,3,3,4,4,4,2,1,0,0,2,0,0,1,3.13,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Coady, Jennifer J",,36489,5,4,3,2,3,4,1,3,1,0,4,0,1,0,2.82,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Gebhardt, Abbey L",,36494,10,6,7,2,5,3,2,0,3,0,3,0,1,0,3.14,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Jones, Brock A",,36496,7,7,9,3,4,3,2,2,1,0,2,0,4,0,2.99,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Pietura, Magdalena",,36499,6,10,3,3,2,1,1,2,2,0,6,0,3,0,2.8,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Zhu, Xiaoxiao",,36502,6,7,6,2,2,4,0,2,2,0,4,0,5,1,2.72,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Silver, Paige R",,36506,3,11,7,4,4,2,3,5,0,0,1,0,1,1,3.18,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Valentine, Courtney M",,36509,5,11,5,1,5,4,2,0,2,0,3,0,2,0,3.06,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Pietura, Magdalena",,36516,2,6,4,0,2,2,2,1,1,0,2,0,4,0,2.63,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Silver, Paige R",,36522,2,3,11,4,10,3,4,2,1,0,1,0,0,0,3.11,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Waddock, Madeleine K",,36526,3,4,8,6,5,5,4,1,1,0,1,0,3,1,2.92,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Zhu, Xiaoxiao",,36536,4,9,4,0,4,3,6,2,1,0,2,0,2,0,2.93,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Valentine, Courtney M",,36538,3,3,12,3,4,5,3,1,2,0,2,0,2,0,2.94,,
Fall 2016,ACCY,201,Accounting and Accountancy I,,,"Waddock, Madeleine K",,36543,7,7,12,3,1,4,3,0,1,0,3,0,1,1,3.22,,
Fall 2016,ACCY,202,Accounting and Accountancy II,,,"Agapito, Christina N",,36552,4,3,4,7,8,0,2,3,1,0,1,0,0,1,3.13,,
Fall 2016,ACCY,202,Accounting and Accountancy II,,,"Agapito, Christina N",,36556,4,8,4,13,5,1,6,3,2,0,0,0,0,0,3.19,,
Fall 2016,ACCY,202,Accounting and Accountancy II,,,"Schraiber, Rebecca L",,36560,8,4,5,14,1,0,7,3,1,0,1,0,0,0,3.2,,
Fall 2016,ACCY,202,Accounting and Accountancy II,,,"Schraiber, Rebecca L",,36565,4,8,1,14,8,3,3,1,1,0,0,0,0,0,3.28,,
Fall 2016,ACCY,202,Accounting and Accountancy II,,,"Shen, Haoqing",,36568,5,5,7,14,3,0,4,7,0,0,0,0,1,1,3.14,,
Fall 2016,ACCY,202,Accounting and Accountancy II,,,"Shen, Haoqing",,36574,3,8,6,9,6,0,6,3,1,0,1,0,0,2,3.18,,
Fall 2016,ACCY,301,Atg Measurement & Disclosure,,,"Anderson, Spencer B",,36577,0,6,3,5,3,4,2,1,1,0,0,0,0,0,3.19,,
Fall 2016,ACCY,301,Atg Measurement & Disclosure,,,"Anderson, Spencer B",,36581,6,5,3,3,5,2,0,1,0,0,0,0,0,0,3.49,,
Fall 2016,ACCY,301,Atg Measurement & Disclosure,,,"Anderson, Spencer B",,36584,4,5,1,6,4,2,2,0,0,0,1,0,0,0,3.31,,
Fall 2016,ACCY,301,Atg Measurement & Disclosure,,,"Wang, Zhiguang",,36587,0,8,4,5,1,1,3,2,0,1,0,0,0,0,3.25,,
Fall 2016,ACCY,301,Atg Measurement & Disclosure,,,"Wang, Zhiguang",,36590,2,3,1,6,8,0,0,0,1,0,0,0,0,0,3.3,,
Fall 2016,ACCY,301,Atg Measurement & Disclosure,,,"Sougiannis, Theodore",,36592,1,4,5,4,5,3,4,0,0,0,0,0,0,0,3.23,,
Fall 2016,ACCY,301,Atg Measurement & Disclosure,,,"He, Shuoyuan",,36596,2,3,7,3,4,6,0,0,0,0,0,0,0,0,3.35,,
Fall 2016,ACCY,301,Atg Measurement & Disclosure,,,"Wang, Zhiguang",,36598,1,7,6,6,2,0,0,0,0,0,1,0,0,0,3.52,,
Fall 2016,ACCY,301,Atg Measurement & Disclosure,,,"He, Shuoyuan",,47781,4,3,4,4,7,2,0,0,0,0,0,0,0,1,3.43,,
Fall 2016,ACCY,302,Decision Making for Atg,,,"Finnegan, Thomas",,36610,0,6,6,3,14,3,1,0,1,0,0,0,0,0,3.24,,
Fall 2016,ACCY,302,Decision Making for Atg,,,"Finnegan, Thomas",,36614,0,6,9,7,11,0,0,0,0,0,0,0,0,0,3.43,,
Fall 2016,ACCY,302,Decision Making for Atg,,,"Wu, Martin G",,36618,1,2,11,10,5,2,0,0,1,0,0,0,0,0,3.37,,
Fall 2016,ACCY,302,Decision Making for Atg,,,"Finnegan, Thomas",,36680,0,1,10,11,11,0,0,1,0,0,0,0,0,0,3.3,,
Fall 2016,ACCY,302,Decision Making for Atg,,,"Chen, Xiaoling",,36688,0,6,8,12,2,4,1,0,0,0,0,0,0,0,3.4,,
Fall 2016,ACCY,302,Decision Making for Atg,,,"Chen, Xiaoling",,49257,4,3,5,11,6,3,1,1,0,0,0,0,0,0,3.33,,
Fall 2016,ACCY,302,Decision Making for Atg,,,"Wu, Martin G",,49258,2,6,9,10,2,3,1,0,2,0,0,0,0,0,3.37,,
Fall 2016,ACCY,303,Atg Institutions and Reg,,,"Li, Wei",,36692,1,2,11,6,7,1,0,2,0,0,0,1,0,1,3.25,,
Fall 2016,ACCY,303,Atg Institutions and Reg,,,"Li, Wei",,36700,1,12,9,5,4,1,0,0,1,0,0,2,1,1,3.32,,
Fall 2016,ACCY,303,Atg Institutions and Reg,,,"Brown, Timothy J",,36701,2,12,10,3,6,2,0,0,1,1,0,0,0,0,3.49,,
Fall 2016,ACCY,303,Atg Institutions and Reg,,,"Brown, Timothy J",,36713,1,12,4,7,4,6,2,0,0,1,0,0,0,0,3.35,,
Fall 2016,ACCY,303,Atg Institutions and Reg,,,"Li, Wei",,49259,0,10,11,9,2,0,0,0,1,0,1,3,0,0,3.27,,
Fall 2016,ACCY,303,Atg Institutions and Reg,,,"Brown, Timothy J",,36703,0,6,6,7,4,10,0,0,2,0,0,1,0,0,3.11,,
Fall 2016,ACCY,304,Accounting Control Systems,,,"Koo, Seung Hyun",,31317,2,4,3,3,5,1,3,0,0,1,1,1,1,0,2.91,,
Fall 2016,ACCY,304,Accounting Control Systems,,,"Koo, Seung Hyun",,31318,0,14,4,5,7,0,0,1,1,0,1,0,0,0,3.42,,
Fall 2016,ACCY,304,Accounting Control Systems,,,"Koo, Seung Hyun",,31319,1,12,6,6,5,1,0,1,0,0,0,0,0,0,3.55,,
Fall 2016,ACCY,304,Accounting Control Systems,,,"Wang, Wei",,31320,0,13,0,6,9,0,2,1,0,0,0,0,1,0,3.3,,
Fall 2016,ACCY,304,Accounting Control Systems,,,"Wang, Wei",,49280,0,13,0,4,13,0,2,2,0,0,0,0,0,0,3.32,,
Fall 2016,ACCY,304,Accounting Control Systems,,,"Wang, Wei",,62036,0,18,0,3,7,0,2,2,0,1,0,0,0,0,3.42,,
Fall 2016,ACCY,312,Principles of Taxation,,,"Bauer, Andrew M",,31321,0,6,4,5,5,7,2,1,1,0,2,0,0,1,3.01,,
Fall 2016,ACCY,312,Principles of Taxation,,,"Bauer, Andrew M",,31324,1,9,3,9,7,1,2,1,0,0,0,0,0,1,3.37,,
Fall 2016,ACCY,312,Principles of Taxation,,,"Bauer, Andrew M",,31330,3,9,7,5,9,2,0,0,0,0,0,0,0,1,3.51,,
Fall 2016,ACCY,312,Principles of Taxation,,,"Donohoe, Michael P",,31333,0,5,11,8,3,1,1,0,1,0,1,0,1,1,3.24,,
Fall 2016,ACCY,312,Principles of Taxation,,,"Donohoe, Michael P",,45719,6,2,17,5,3,1,2,0,0,0,0,2,0,0,3.39,,
Fall 2016,ACCY,312,Principles of Taxation,,,"Donohoe, Michael P",,45934,5,4,14,3,8,1,0,0,0,0,0,0,1,0,3.45,,
Fall 2016,ACCY,405,Assurance and Attestation,,,"Bauer, Timothy D",,36758,0,2,8,22,4,1,1,1,0,0,0,0,0,0,3.32,,
Fall 2016,ACCY,405,Assurance and Attestation,,,"Bauer, Timothy D",,36764,1,5,10,12,6,2,0,1,1,0,0,0,0,0,3.36,,
Fall 2016,ACCY,405,Assurance and Attestation,,,"Bauer, Timothy D",,54162,1,4,7,19,1,3,2,0,0,0,0,0,0,1,3.37,,
Fall 2016,ACCY,410,Advanced Financial Reporting,,,"Steward, Cynthia G",,61231,2,4,5,8,7,2,1,1,1,1,0,0,0,1,3.22,,
Fall 2016,ACCY,410,Advanced Financial Reporting,,,"Steward, Cynthia G",,62729,2,7,7,7,7,2,2,1,0,0,0,0,0,0,3.36,,
Fall 2016,ACCY,410,Advanced Financial Reporting,,,"Kustanovich, Michael",,62730,1,16,5,4,9,0,0,0,0,0,0,0,0,2,3.61,,
Fall 2016,ACCY,410,Advanced Financial Reporting,,,"Kustanovich, Michael",,62731,2,13,6,2,7,5,3,0,0,0,0,0,0,0,3.42,,
Fall 2016,ACCY,410,Advanced Financial Reporting,,,"Kustanovich, Michael",,62732,1,8,5,7,6,3,3,2,0,0,0,0,2,1,3.1,,
Fall 2016,ACCY,415,Auditing Stds and Practice,,,"Ciconte, William",,29676,0,15,8,9,7,0,0,1,0,0,0,0,0,0,3.56,,
Fall 2016,ACCY,415,Auditing Stds and Practice,,,"Ciconte, William",,64648,0,2,7,10,9,5,0,3,2,0,0,0,1,0,2.99,,
Fall 2016,ACCY,415,Auditing Stds and Practice,,,"Ciconte, William",,65021,0,11,2,11,8,4,0,1,0,0,0,0,0,0,3.37,,
Fall 2016,ACCY,451,Advanced Income Tax Problems,,,"Bodtke, James E",,49130,0,9,5,7,12,4,0,0,0,0,0,0,0,0,3.35,,
Fall 2016,ACCY,451,Advanced Income Tax Problems,,,"Bodtke, James E",,54569,2,9,4,5,12,4,0,1,0,0,0,0,0,0,3.36,,
Fall 2016,ACCY,451,Advanced Income Tax Problems,,,"Bodtke, James E",,63119,0,5,2,3,9,5,4,1,0,0,0,0,0,0,3.09,,
Fall 2016,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",,,"Zhang, Li",,49761,5,14,4,7,15,7,2,5,0,0,1,0,0,0,3.22,,
Fall 2016,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",,,"Urcan, Oktay",,67282,23,83,36,15,41,4,4,0,0,0,0,0,0,1,3.64,,
Fall 2016,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",,,"Zhang, Li",,62025,8,11,6,2,11,1,0,0,0,0,1,0,0,0,3.53,,
Fall 2016,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",,,"Davis, Gregory L",,49763,0,18,11,3,4,2,2,0,1,0,0,0,0,0,3.56,,
Fall 2016,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",,,"Urcan, Oktay",,67281,2,10,1,1,4,0,1,0,0,0,0,0,6,2,2.77,,
Fall 2016,ACCY,502,Accounting Analysis II,,,"Schwartz, Rachel",,29680,6,10,8,10,1,3,0,0,0,0,1,0,0,0,3.56,,
Fall 2016,ACCY,502,Accounting Analysis II,,,"Schwartz, Rachel",,31334,4,11,10,5,3,1,1,2,0,0,0,0,0,0,3.55,,
Fall 2016,ACCY,502,Accounting Analysis II,,,"Schwartz, Rachel",,61232,3,9,10,11,0,2,4,1,0,1,0,0,0,0,3.4,,
Fall 2016,ACCY,503,Managerial Accounting,,,"Sandretto, Michael J",,31335,3,21,12,1,0,0,0,0,0,0,0,0,0,0,3.87,,
Fall 2016,ACCY,503,Managerial Accounting,,,"Sandretto, Michael J",,39540,3,18,16,1,0,0,0,0,0,0,0,0,0,0,3.84,,
Fall 2016,ACCY,503,Managerial Accounting,,,"Hecht, Gary W",,66973,17,41,55,81,14,3,0,0,1,0,0,0,0,2,3.56,,
Fall 2016,ACCY,503,Managerial Accounting,,,"Hecht, Gary W",,66974,2,5,8,7,3,0,0,0,0,0,0,0,0,2,3.59,,
Fall 2016,ACCY,504,Auditing,,,"Chatterton, Angel",,56299,0,5,15,5,7,3,3,0,1,0,0,0,0,0,3.32,,
Fall 2016,ACCY,504,Auditing,,,"Chatterton, Angel",,59162,0,11,11,11,5,6,0,0,0,0,0,0,0,0,3.46,,
Fall 2016,ACCY,504,Auditing,,,"Chatterton, Angel",,64875,0,14,13,8,6,1,2,0,0,0,0,0,0,0,3.54,,
Fall 2016,ACCY,505,Federal Taxation,,,"Cox, Sharon P",,31339,5,19,5,1,4,5,0,1,0,0,0,0,0,0,3.63,,
Fall 2016,ACCY,505,Federal Taxation,,,"Cox, Sharon P",,31341,6,13,6,7,6,3,0,0,1,0,0,0,0,0,3.55,,
Fall 2016,ACCY,505,Federal Taxation,,,"Cox, Sharon P",,54993,5,10,7,9,4,4,0,0,0,0,0,0,0,0,3.55,,
Fall 2016,ACCY,505,Federal Taxation,,,"Henderson, Belinda C",,57605,6,6,3,4,5,5,0,1,0,0,0,0,0,0,3.42,,
Fall 2016,ACCY,510,Financial Reporting Standards,,,"Steward, Cynthia G",,49275,0,25,0,7,2,2,1,1,1,0,0,0,0,0,3.61,,
Fall 2016,ACCY,510,Financial Reporting Standards,,,"Hepp, John",,61974,4,11,6,6,9,4,0,0,0,0,0,0,0,0,3.49,,
Fall 2016,ACCY,510,Financial Reporting Standards,,,"Hepp, John",,62037,2,8,10,7,9,5,0,0,0,0,0,0,0,0,3.42,,
Fall 2016,ACCY,510,Financial Reporting Standards,,,"Steward, Cynthia G",,63121,0,24,0,6,8,1,0,1,0,0,0,0,0,0,3.62,,
Fall 2016,ACCY,511,External Risk Measurement/Rept,,,"Abdel-Khalik, Ahmed R",,31344,0,10,6,5,4,1,0,0,0,0,0,0,0,0,3.59,,
Fall 2016,ACCY,511,External Risk Measurement/Rept,,,"Abdel-Khalik, Ahmed R",,49276,0,18,8,4,1,0,0,0,0,0,0,0,0,0,3.8,,
Fall 2016,ACCY,512,Internal Risk Measurement/Rept,,,"Chandler, John S",,51813,3,16,8,4,9,0,0,0,0,0,0,0,0,0,3.64,,
Fall 2016,ACCY,512,Internal Risk Measurement/Rept,,,"Chandler, John S",,51816,3,13,10,7,5,1,0,0,0,0,0,0,0,0,3.63,,
Fall 2016,ACCY,515,Auditing & Assurance Standards,,,"Hobson, Jessen L",,46977,0,7,9,11,0,3,0,0,0,0,0,0,0,0,3.52,,
Fall 2016,ACCY,515,Auditing & Assurance Standards,,,"Hobson, Jessen L",,46978,0,11,6,5,5,2,0,1,1,0,0,0,0,0,3.44,,
Fall 2016,ACCY,515,Auditing & Assurance Standards,,,"Hobson, Jessen L",,54477,0,8,7,10,5,1,0,0,0,0,0,0,0,0,3.51,,
Fall 2016,ACCY,517,Financial Statement Analysis,,,"Ibrahim, Adel Nematallah",,31373,0,6,9,4,7,2,0,1,0,0,0,0,0,0,3.4,,
Fall 2016,ACCY,517,Financial Statement Analysis,,,"Ibrahim, Adel Nematallah",,31377,0,11,4,5,10,0,0,0,0,0,0,0,0,0,3.51,,
Fall 2016,ACCY,517,Financial Statement Analysis,,,"Ibrahim, Adel Nematallah",,39543,0,8,3,6,10,2,0,0,0,0,0,0,0,0,3.39,,
Fall 2016,ACCY,518,Financial Statement Fraud,,,"Nekrasz, Frank",,66681,27,12,0,0,1,0,0,0,0,0,0,0,0,0,3.98,,
Fall 2016,ACCY,551,Corporate Income Taxation,,,"Sternburg, Thomas",,31381,0,2,1,7,14,1,0,0,0,0,0,0,0,0,3.19,,
Fall 2016,ACCY,551,Corporate Income Taxation,,,"Sternburg, Thomas",,31382,0,5,2,9,10,0,0,0,0,0,0,0,0,0,3.36,,
Fall 2016,ACCY,552,Partnership Income Taxation,,,"Johnson, Joseph A",,44169,2,6,4,3,6,0,0,0,0,0,1,0,0,0,3.44,,
Fall 2016,ACCY,554,International Taxation,,,"Engle, Howard S",,60931,2,5,4,2,7,2,0,0,0,0,0,0,0,0,3.44,,
Fall 2016,ACCY,556,Tax Research,,,"Chorvat, Elizabeth A",,54570,0,10,18,7,1,0,0,0,0,0,0,0,0,0,3.68,,
Fall 2016,ACCY,556,Tax Research,,,"Chorvat, Elizabeth A",,31384,1,12,13,4,1,0,0,0,0,0,0,0,0,0,3.74,,
Fall 2016,ACCY,558,Taxation of Closely-Held Bus.,,,"Whitlock, Brian T",,60932,3,13,4,1,1,0,0,0,0,0,0,0,0,0,3.86,,
Fall 2016,ACCY,570,Data Anlaytics Foundations,,,"Brunner, Robert J",,66737,5,16,7,3,8,1,0,0,0,0,0,0,0,0,3.66,,
Fall 2016,ACCY,571,Stat Analyses for Accountancy,,,"Brunner, Robert J",,66738,1,19,8,6,5,0,1,0,0,0,0,0,0,0,3.67,,
Fall 2016,ACE,100,Agr Cons and Resource Econ,,,"Gundersen, Lisa C",,36724,0,0,4,4,2,1,2,0,3,2,4,0,2,0,2.21,,
Fall 2016,ACE,161,Microcomputer Applications,,,"Rogalla, Valerie",,36745,0,11,0,0,6,0,0,3,0,0,0,0,2,0,3.09,,
Fall 2016,ACE,161,Microcomputer Applications,,,"Lo, Alexander C",,36736,0,19,0,0,4,0,0,1,0,0,0,0,0,0,3.75,,
Fall 2016,ACE,161,Microcomputer Applications,,,"Rogalla, Valerie",,36747,0,15,0,0,4,0,0,3,0,0,1,0,0,0,3.43,,
Fall 2016,ACE,161,Microcomputer Applications,,,"Lo, Alexander C",,36749,0,16,0,0,4,0,0,2,0,0,1,0,0,1,3.52,,
Fall 2016,ACE,161,Microcomputer Applications,,,"Lo, Alexander C",,36738,0,22,0,0,3,0,0,0,0,0,0,0,0,0,3.88,,
Fall 2016,ACE,161,Microcomputer Applications,,,"Lo, Alexander C",,36750,0,19,0,0,5,0,0,1,0,0,0,0,0,0,3.72,,
Fall 2016,ACE,161,Microcomputer Applications,,,"Lo, Alexander C",,36739,0,21,0,0,3,0,0,1,0,0,0,0,0,0,3.8,,
Fall 2016,ACE,161,Microcomputer Applications,,,"Rogalla, Valerie",,36751,0,33,0,0,12,0,0,2,0,0,0,0,0,0,3.66,,
Fall 2016,ACE,161,Microcomputer Applications,,,"Lo, Alexander C",,36741,0,18,0,0,3,0,0,2,0,0,1,0,0,0,3.58,,
Fall 2016,ACE,161,Microcomputer Applications,,,"Rogalla, Valerie",,36752,0,32,0,0,10,0,0,2,0,0,3,0,0,0,3.51,,
Fall 2016,ACE,161,Microcomputer Applications,,,"Rogalla, Valerie",,36742,0,12,0,0,8,0,0,1,0,0,1,0,1,0,3.26,,
Fall 2016,ACE,161,Microcomputer Applications,,,"Rogalla, Valerie",,36744,0,13,0,0,7,0,0,2,0,0,1,0,0,0,3.39,,
Fall 2016,ACE,210,Environmental Economics,,,"Christensen, Peter",,61563,17,17,16,21,23,15,11,11,7,3,2,1,5,0,2.95,,
Fall 2016,ACE,222,Agricultural Marketing,,,"Stoddard, Paul B",,29698,14,32,43,22,29,13,9,4,6,2,1,0,4,2,3.24,,
Fall 2016,ACE,240,Personal Financial Planning,,,"Stoddard, Paul B",,51717,8,30,40,25,21,13,11,7,1,1,3,2,7,0,3.12,,
Fall 2016,ACE,251,The World Food Economy,,,"Rios-Neto, Eduardo L",,49101,11,43,25,21,28,11,6,10,3,1,0,0,4,0,3.26,,
Fall 2016,ACE,261,Applied Statistical Methods,,,"Rubin, Ofir",,31419,1,10,8,7,15,5,6,4,5,3,0,1,1,1,2.88,,
Fall 2016,ACE,306,Food Law,,,"Endres, A B",,52038,1,8,4,3,3,4,1,3,0,0,0,0,3,0,2.96,,
Fall 2016,ACE,341,Issues in Agribus Mkts & Mgmt,,,"Barnard, Jessa M",,65063,25,4,3,0,2,0,0,1,0,0,0,0,1,0,3.75,,
Fall 2016,ACE,341,Issues in Cons Econ & Finance,,,"Finnegan, Ann B",,65167,6,9,4,1,2,1,0,0,0,0,0,0,0,0,3.77,,
Fall 2016,ACE,345,Finan Decision Indiv Sm Bus,,,"Paulson, Nicholas D",,53592,9,55,9,20,10,6,3,4,3,0,0,0,0,0,3.54,,
Fall 2016,ACE,346,Tax Policy and Finan Planning,,,"Breen, John",,60156,5,15,19,5,8,3,2,2,0,0,0,0,0,0,3.51,,
Fall 2016,ACE,406,Environmental Law,,,"Endres, A B",,48924,0,7,3,0,2,4,1,2,4,0,0,0,0,0,2.98,,
Fall 2016,ACE,411,Environment and Development,,,"Baylis, Katherine R",,62829,16,14,10,6,6,0,0,0,1,1,0,1,1,0,3.56,,
Fall 2016,ACE,427,Commodity Price Analysis,,,"Mallory, Mindy L",,64899,5,11,11,6,13,2,1,3,1,0,1,0,1,1,3.27,,
Fall 2016,ACE,428,Commodity Futures and Options,,,"Cruz, Jose C",,43123,3,4,12,3,3,11,2,6,3,3,1,2,0,0,2.8,,
Fall 2016,ACE,432,Farm Management,,,"Kuethe, Todd H",,57775,19,7,3,1,0,1,0,0,0,0,0,0,0,0,3.91,,
Fall 2016,ACE,435,Global Agribusiness Management,,,"Michelson, Hope C",,29710,27,15,15,12,11,7,1,2,1,1,0,0,0,0,3.52,,
Fall 2016,ACE,444,Finan Serv & Invest Plan,,,"Schnitkey, Gary D",,51727,0,8,8,9,13,4,2,2,0,0,0,0,0,0,3.25,,
Fall 2016,ACE,444,Finan Serv & Invest Plan,,,"Schnitkey, Gary D",,56181,2,13,6,4,7,5,0,0,0,0,0,0,0,0,3.51,,
Fall 2016,ACE,455,Intl Trade in Food and Agr,,,"Baylis, Katherine R",,56174,28,17,10,5,6,1,1,0,0,0,0,0,2,1,3.66,,
Fall 2016,ACES,101,Contemporary Issues in ACES,,,"Palma Salgado, Sindy P",,51577,13,5,1,0,1,1,0,2,0,0,0,0,0,0,3.71,,
Fall 2016,ACES,101,Contemporary Issues in ACES,,,"Moore, Stephanie S",,62120,0,17,8,0,1,0,0,1,1,0,0,0,0,1,3.72,,
Fall 2016,ACES,101,Contemporary Issues in ACES,,,"Nelson, Scott B",,51579,2,18,2,1,2,1,0,0,1,0,0,0,1,0,3.61,,
Fall 2016,ACES,101,Contemporary Issues in ACES,,,"Sizemore, Courtni R",,51582,8,12,3,4,0,0,0,0,0,0,0,0,2,0,3.6,,
Fall 2016,ACES,101,Contemporary Issues in ACES,,,"Ang, Qi Qi Amanda",,51586,0,11,7,2,4,1,1,3,1,0,0,0,0,0,3.37,,
Fall 2016,ACES,101,Contemporary Issues in ACES,,,"Munaretto, Claire M",,51587,2,14,6,1,1,3,2,0,0,0,0,0,1,0,3.5,,
Fall 2016,ACES,101,Contemporary Issues in ACES,,,"Munaretto, Claire M",,51588,1,13,6,1,3,1,0,1,0,0,0,0,1,0,3.52,,
Fall 2016,ACES,101,Contemporary Issues in ACES,,,"Li, Kailiang",,51590,7,7,5,1,2,0,2,0,0,1,1,0,1,0,3.36,,
Fall 2016,ACES,101,Contemporary Issues in ACES,,,"Sizemore, Courtni R",,51594,4,15,4,1,1,1,0,0,0,0,0,0,2,0,3.56,,
Fall 2016,ACES,101,Contemporary Issues in ACES,,,"Nelson, Scott B",,51596,1,15,8,0,0,0,0,0,1,0,0,0,0,0,3.8,,
Fall 2016,ACES,101,Contemporary Issues in ACES,,,"Ang, Qi Qi Amanda",,51600,0,12,3,3,1,0,2,0,0,0,0,0,0,0,3.65,,
Fall 2016,ACES,101,Contemporary Issues in ACES,,,"Sizemore, Courtni R",,51601,7,12,4,3,0,0,1,0,0,0,0,0,2,0,3.55,,
Fall 2016,ACES,179,History of Ag in IL Since 1860,,,"Reid, Debra A",,61977,4,6,6,3,2,1,0,1,1,0,0,0,2,0,3.24,,
Fall 2016,ACES,179,History of Ag in IL Since 1860,,,"Reid, Debra A",,61978,1,7,4,3,4,2,1,1,1,0,0,0,1,0,3.2,,
Fall 2016,ADV,150,Introduction to Advertising,,,"Hall, Steven R",,61084,7,36,4,2,7,0,1,0,0,0,0,0,0,0,3.8,,
Fall 2016,ADV,150,Introduction to Advertising,,,"Hall, Steven R",,61085,35,173,1,14,81,0,1,16,0,2,1,0,3,1,3.56,,
Fall 2016,ADV,281,Advertising Research Methods,,,"Wise, Kevin R",,61086,2,7,10,14,14,4,6,13,3,5,2,1,3,1,2.69,,
Fall 2016,ADV,283,Advertising and Brand Strategy,,,"Mabry-Flynn, Amanda D",,65173,0,23,9,4,1,2,1,0,0,0,0,0,0,0,3.73,,
