Year,Date,Location,Opponent,Result,IlliniScore,OpponentScore,Note1,Note2,Note3
1955,10/15,vs.,Minnesota,W,21,13,,,
1955,10/22,@,Michigan State,L,7,21,,,
1955,10/29,vs.,Purdue,L,0,13,,,
1955,11/5,vs.,Michigan,W,25,6,,,
1955,11/12,@,Wisconsin,W,17,14,,,
1955,11/19,@,Northwestern,T,7,7,,,
1954,9/25,vs.,Penn State,L,12,14,,,
1954,10/2,@,Stanford,L,2,12,,,
1954,10/9,vs.,Ohio State,L,7,40,,,
1954,10/16,@,Minnesota,L,6,19,,,
1954,10/23,vs.,Syracuse,W,34,6,,,
1954,10/30,@,Purdue,L,14,28,,,
1954,11/6,@,Michigan,L,7,14,,,
1954,11/13,vs.,Wisconsin,L,14,27,,,
1954,11/20,vs.,Northwestern,L,7,20,,,
1953,9/26,vs.,Nebraska,T,21,21,,,
1953,10/3,vs.,Stanford,W,33,21,,,
1953,10/10,@,Ohio State,W,41,20,,,
1953,10/17,vs.,Minnesota,W,27,7,,,
1953,10/24,vs.,Syracuse,W,20,13,,,
1953,10/31,vs.,Purdue,W,21,0,,,
1953,11/7,vs.,Michigan,W,19,3,,,
1953,11/14,@,Wisconsin,L,7,34,,,
1953,11/21,@,Northwestern,W,39,14,,,
1952,9/27,vs.,Iowa State,W,33,7,,,
1952,10/4,@,Wisconsin,L,6,20,,,
1952,10/11,vs.,Washington,W,48,14,,,
1952,10/18,@,Minnesota,L,7,13,,,
1952,10/25,vs.,Purdue,L,12,40,,,
1952,11/1,@,Michigan,W,22,13,,,
1952,11/8,@,Iowa,W,33,13,,,
1952,11/15,vs.,Ohio State,L,7,27,,,
1952,11/22,vs.,Northwestern,L,26,28,,,
1951,9/29,vs.,UCLA,W,27,13,,,
1951,10/6,vs.,Wisconsin,W,14,10,,,
1951,10/13,@,Syracuse,W,41,20,,,
1951,10/20,@,Washington,W,27,20,,,
1951,10/27,@,Indiana,W,21,0,,,
1951,11/3,vs.,Michigan,W,7,0,,,
1951,11/10,vs.,Iowa,W,40,13,,,
1951,11/17,@,Ohio State,T,0,0,,,
1951,11/24,@,Northwestern,W,3,0,,,
1951,1/1,vs.,Stanford,W,40,7,@ Pasadena, CA,Rose Bowl
1950,9/30,vs.,Ohio,W,28,2,,,
1950,10/7,vs.,Wisconsin,L,6,7,,,
1950,10/13,@,UCLA,W,14,6,,,
1950,10/21,vs.,Washington,W,20,13,,,
1950,10/28,vs.,Indiana,W,20,0,,,
1950,11/4,@,Michigan,W,7,0,,,
1950,11/11,@,Iowa,W,21,7,,,
1950,11/18,vs.,Ohio State,W,14,7,,,
1950,11/25,@,Northwestern,L,7,14,,,
1949,9/24,vs.,Iowa State,T,20,20,,,
1949,10/1,vs.,Wisconsin,T,13,13,,,
1949,10/8,@,Iowa,W,20,14,,,
1949,10/15,vs.,Missouri,L,20,27,,,
1949,10/22,@,Purdue,W,19,0,,,
1949,10/29,vs.,Michigan,L,0,13,,,
1949,11/5,vs.,Indiana,W,33,14,,,
1949,11/12,@,Ohio State,L,17,30,,,
1949,11/19,vs.,Northwestern,L,7,9,,,
1948,9/25,vs.,Kansas State,W,40,0,,,
1948,10/2,@,Wisconsin,L,16,20,,,
1948,10/9,vs.,Army,L,21,26,,,
1948,10/16,@,Minnesota,L,0,6,,,
1948,10/23,vs.,Purdue,W,10,6,,,
1948,10/30,@,Michigan,L,20,28,,,
1948,11/6,vs.,Iowa,W,14,0,,,
1948,11/13,vs.,Ohio State,L,7,34,,,
1948,11/20,@,Northwestern,L,7,20,,,
1947,9/27,vs.,Pittsburgh,W,14,0,,,
1947,10/4,@,Iowa,W,35,12,,,
1947,10/11,vs.,Army,T,0,0,@ Bronx, NY,
1947,10/18,vs.,Minnesota,W,40,13,,,
1947,10/25,@,Purdue,L,7,14,,,
1947,11/1,vs.,Michigan,L,7,14,,,
1947,11/8,vs.,Western Michigan,W,60,14,,,
1947,11/15,@,Ohio State,W,28,7,,,
1947,11/22,vs.,Northwestern,L,13,28,,,
1946,9/21,@,Pittsburgh,W,33,7,,,
1946,9/28,vs.,Notre Dame,L,6,26,,,
1946,10/5,vs.,Purdue,W,43,7,,,
1946,10/12,@,Indiana,L,7,14,,,
1946,10/19,vs.,Wisconsin,W,27,21,,,
1946,10/26,@,Michigan,W,13,9,,,
1946,11/2,@,Iowa,W,7,0,,,
1946,11/16,vs.,Ohio State,W,16,7,,,
1946,11/23,@,Northwestern,W,20,0,,,
1946,1/1,vs.,UCLA,W,45,14,@ Pasadena, CA,Rose Bowl
1945,9/22,vs.,Pittsburgh,W,23,6,,,
1945,9/29,@,Notre Dame,L,0,7,,,
1945,10/6,vs.,Indiana,L,0,6,,,
1945,10/20,@,Wisconsin,T,7,7,,,
1945,10/27,vs.,Michigan,L,0,19,,,
1945,11/3,vs.,Great Lakes Navy,L,6,12,,,
1945,11/10,vs.,Iowa,W,48,7,,,
1945,11/17,@,Ohio State,L,2,27,,,
1945,11/24,@,Northwestern,L,7,13,,,
1944,9/16,vs.,Illinois State,W,79,0,,,
1944,9/23,vs.,Indiana,W,26,18,,,
1944,9/30,@,Great Lakes Navy,T,26,26,,,
1944,10/7,vs.,Purdue,L,19,35,,,
1944,10/14,vs.,Iowa,W,40,6,,,
1944,10/21,@,Pittsburgh,W,39,5,,,
1944,10/28,vs.,Notre Dame,L,7,13,,,
1944,11/11,@,Michigan,L,0,14,,,
1944,11/18,vs.,Ohio State,L,12,26,@ Cleveland, OH,
1944,11/25,@,Northwestern,W,25,6,,,
1943,9/11,vs.,Camp Grant,L,0,23,,,
1943,9/18,vs.,Iowa Pre-Flight,L,18,32,,,
1943,10/2,@,Purdue,L,21,40,,,
1943,10/9,@,Wisconsin,W,25,7,,,
1943,10/16,vs.,Pittsburgh,W,33,25,,,
1943,10/23,@,Notre Dame,L,0,47,,,
1943,10/30,vs.,Michigan,L,6,42,,,
1943,11/6,@,Iowa,W,19,10,,,
1943,11/13,@,Ohio State,L,26,29,,,
1943,11/20,@,Northwestern,L,6,53,,,
1942,9/26,vs.,South Dakota,W,46,0,,,
1942,10/3,vs.,Butler,W,67,0,,,
1942,10/10,vs.,Minnesota,W,20,13,,,
1942,10/17,@,Iowa,W,12,7,,,
1942,10/24,vs.,Notre Dame,L,14,21,,,
1942,10/31,@,Michigan,L,14,28,,,
1942,11/7,@,Northwestern,W,14,7,,,
1942,11/14,vs.,Ohio State,L,20,44,@ Cleveland, OH,
1942,11/21,vs.,Great Lakes Navy,L,0,6,,,
1942,11/28,@,Camp Grant,W,20,0,,,
1941,10/4,vs.,Miami,W,45,0,,,
1941,10/11,@,Minnesota,L,6,34,,,
1941,10/18,vs.,Drake,W,40,0,,,
1941,10/25,@,Notre Dame,L,14,49,,,
1941,11/1,vs.,Michigan,L,0,20,,,
1941,11/8,vs.,Iowa,L,0,21,,,
1941,11/15,@,Ohio State,L,7,12,,,
1941,11/22,@,Northwestern,L,0,27,,,
1940,10/5,vs.,Bradley,W,31,0,,,
1940,10/12,vs.,Southern California,L,7,13,,,
1940,10/19,@,Michigan,L,0,28,,,
1940,10/26,vs.,Notre Dame,L,0,26,,,
1940,11/2,@,Wisconsin,L,6,13,,,
1940,11/9,@,Northwestern,L,14,32,,,
1940,11/16,vs.,Ohio State,L,6,14,,,
1940,11/23,@,Iowa,L,7,18,,,
1939,9/30,vs.,Bradley,T,0,0,,,
1939,10/14,@,Southern California,L,0,26,,,
1939,10/21,vs.,Indiana,L,6,7,,,
1939,10/28,@,Northwestern,L,0,13,,,
1939,11/4,vs.,Michigan,W,16,7,,,
1939,11/11,vs.,Wisconsin,W,7,0,,,
1939,11/18,@,Ohio State,L,0,21,,,
1939,11/25,@,Chicago,W,46,0,,,
1938,9/24,vs.,Ohio,L,0,6,,,
1938,10/1,vs.,DePaul,W,44,7,,,
1938,10/8,vs.,Indiana,W,12,2,,,
1938,10/15,@,Notre Dame,L,6,14,,,
1938,10/22,vs.,Northwestern,L,0,13,,,
1938,10/29,@,Michigan,L,0,14,,,
1938,11/12,vs.,Ohio State,L,14,32,,,
1938,11/19,@,Chicago,W,34,0,,,
1937,9/25,vs.,Ohio,W,20,6,,,
1937,10/2,vs.,DePaul,T,0,0,,,
1937,10/9,vs.,Notre Dame,T,0,0,,,
1937,10/16,@,Indiana,L,6,13,,,
1937,10/30,vs.,Michigan,L,6,7,,,
1937,11/6,@,Northwestern,W,6,0,,,
1937,11/13,@,Ohio State,L,0,19,,,
1937,11/20,vs.,Chicago,W,21,0,,,
1936,9/26,vs.,DePaul,W,9,6,,,
1936,10/3,vs.,Washington,W,13,7,,,
1936,10/10,vs.,Southern California,L,6,24,,,
1936,10/17,@,Iowa,T,0,0,,,
1936,10/24,vs.,Northwestern,L,2,13,,,
1936,10/31,@,Michigan,W,9,6,,,
1936,11/14,vs.,Ohio State,L,0,13,,,
1936,11/21,@,Chicago,W,18,7,,,
1935,9/28,vs.,Ohio,L,0,6,,,
1935,10/5,vs.,Washington,W,28,6,,,
1935,10/12,@,Southern California,W,19,0,,,
1935,10/26,vs.,Iowa,L,0,19,,,
1935,11/2,@,Northwestern,L,3,10,,,
1935,11/9,vs.,Michigan,W,3,0,,,
1935,11/16,@,Ohio State,L,0,6,,,
1935,11/23,vs.,Chicago,L,6,7,,,
1934,9/29,vs.,Bradley,W,40,7,,,
1934,10/6,@,Washington,W,12,7,,,
1934,10/13,vs.,Ohio State,W,14,13,,,
1934,10/27,@,Michigan,W,7,6,,,
1934,11/3,vs.,Army,W,7,0,,,
1934,11/10,@,Northwestern,W,14,3,,,
1934,11/17,@,Wisconsin,L,3,7,,,
1934,11/24,@,Chicago,W,6,0,,,
1933,9/30,vs.,Drake,W,13,6,,,
1933,10/7,@,Washington,W,21,6,,,
1933,10/14,vs.,Wisconsin,W,21,0,,,
1933,10/21,vs.,Army,L,0,6,@ Cleveland, OH,
1933,11/4,vs.,Michigan,L,6,7,,,
1933,11/11,@,Northwestern,W,3,0,,,
1933,11/18,vs.,Chicago,W,7,0,,,
1933,11/25,@,Ohio State,L,6,7,,,
1932,10/1,vs.,Miami,W,20,7,,,
1932,10/1,vs.,Coe,W,13,0,,,
1932,10/8,vs.,Bradley,W,20,0,,,
1932,10/15,vs.,Northwestern,L,0,26,,,
1932,10/22,@,Michigan,L,0,32,,,
1932,10/29,@,Chicago,W,13,7,,,
1932,11/5,@,Wisconsin,L,12,20,,,
1932,11/12,vs.,Indiana,W,18,6,,,
1932,11/19,vs.,Ohio State,L,0,3,,,
1931,10/3,vs.,St. Louis,W,20,6,,,
1931,10/10,@,Purdue,L,0,7,,,
1931,10/17,vs.,Bradley,W,20,0,,,
1931,10/24,vs.,Michigan,L,0,35,,,
1931,10/31,@,Northwestern,L,6,32,,,
1931,11/7,vs.,Wisconsin,L,6,7,,,
1931,11/14,vs.,Chicago,L,6,13,,,
1931,11/21,@,Ohio State,L,0,40,,,
1930,10/4,vs.,Iowa State,W,7,0,,,
1930,10/11,vs.,Butler,W,27,0,,,
1930,10/18,vs.,Northwestern,L,0,32,,,
1930,10/25,@,Michigan,L,7,15,,,
1930,11/1,vs.,Purdue,L,0,25,,,
1930,11/8,vs.,Army,L,0,13,@ Bronx, NY,
1930,11/15,@,Chicago,W,28,0,,,
1930,11/22,vs.,Ohio State,L,9,12,,,
1929,10/5,vs.,Kansas,W,25,0,,,
1929,10/12,vs.,Bradley,W,45,0,,,
1929,10/20,@,Iowa,T,7,7,,,
1929,10/26,vs.,Michigan,W,14,0,,,
1929,11/2,@,Northwestern,L,0,7,,,
1929,11/9,vs.,Army,W,17,7,,,
1929,11/16,vs.,Chicago,W,20,6,,,
1929,11/23,@,Ohio State,W,27,0,,,
1928,10/6,vs.,Bradley,W,33,6,,,
1928,10/13,vs.,Coe,W,31,0,,,
1928,10/20,vs.,Indiana,W,13,7,,,
1928,10/27,vs.,Northwestern,W,6,0,,,
1928,11/3,@,Michigan,L,0,3,,,
1928,11/10,@,Butler,W,14,0,,,
1928,11/17,@,Chicago,W,40,0,,,
1928,11/24,vs.,Ohio State,W,8,0,,,
1927,10/1,vs.,Bradley,W,19,0,,,
1927,10/8,vs.,Butler,W,58,0,,,
1927,10/15,vs.,Iowa State,T,12,12,,,
1927,10/22,@,Northwestern,W,7,6,,,
1927,10/29,vs.,Michigan,W,14,0,,,
1927,11/5,@,Iowa,W,14,0,,,
1927,11/12,vs.,Chicago,W,15,6,,,
1927,11/19,@,Ohio State,W,13,0,,,
1926,10/2,vs.,Coe,W,27,0,,,
1926,10/9,vs.,Butler,W,38,7,,,
1926,10/16,vs.,Iowa,W,13,6,,,
1926,10/23,@,Michigan,L,0,13,,,
1926,10/30,vs.,Pennsylvania,W,3,0,,,
1926,11/6,@,Chicago,W,7,0,,,
1926,11/13,vs.,Wabash,W,27,13,,,
1926,11/20,vs.,Ohio State,L,6,7,,,
1925,10/3,vs.,Nebraska,L,0,14,,,
1925,10/10,vs.,Butler,W,16,13,,,
1925,10/17,@,Iowa,L,10,12,,,
1925,10/24,vs.,Michigan,L,0,3,,,
1925,10/31,@,Pennsylvania,W,24,2,,,
1925,11/7,vs.,Chicago,W,13,6,,,
1925,11/14,vs.,Wabash,W,21,0,,,
1925,11/21,@,Ohio State,W,14,9,,,
1924,10/4,@,Nebraska,W,9,6,,,
1924,10/11,vs.,Butler,W,40,10,,,
1924,10/18,vs.,Michigan,W,39,14,,,
1924,10/25,vs.,DePauw,W,45,0,,,
1924,11/1,vs.,Iowa,W,36,0,,,
1924,11/8,@,Chicago,T,21,21,,,
1924,11/15,@,Minnesota,L,7,20,,,
1924,11/22,vs.,Ohio State,W,7,0,,,
1923,10/6,vs.,Nebraska,W,24,7,,,
1923,10/13,vs.,Butler,W,21,7,,,
1923,10/20,@,Iowa,W,9,6,,,
1923,10/27,vs.,Northwestern,W,29,0,@ Chicago, IL,
1923,11/3,vs.,Chicago,W,7,0,,,
1923,11/10,vs.,Wisconsin,W,10,0,,,
1923,11/17,vs.,Mississippi State,W,27,0,,,
1923,11/24,@,Ohio State,W,9,0,,,
1922,10/14,vs.,Butler,L,7,10,,,
1922,10/21,vs.,Iowa,L,7,8,,,
1922,10/28,@,Michigan,L,0,24,,,
1922,11/4,vs.,Northwestern,W,6,3,,,
1922,11/11,@,Wisconsin,W,3,0,,,
1922,11/18,@,Chicago,L,0,9,,,
1922,11/25,vs.,Ohio State,L,3,6,,,
1921,10/8,vs.,South Dakota,W,52,0,,,
1921,10/15,@,Iowa,L,2,14,,,
1921,10/22,vs.,Wisconsin,L,0,20,,,
1921,10/29,vs.,Michigan,L,0,3,,,
1921,11/5,vs.,DePauw,W,21,0,,,
1921,11/12,vs.,Chicago,L,6,14,,,
1921,11/19,@,Ohio State,W,7,0,,,
1920,10/9,vs.,Drake,W,41,0,,,
1920,10/16,vs.,Iowa,W,20,3,,,
1920,10/23,@,Michigan,W,7,6,,,
1920,10/30,vs.,Minnesota,W,17,7,,,
1920,11/6,@,Chicago,W,3,0,,,
1920,11/13,@,Wisconsin,L,9,14,,,
1920,11/20,vs.,Ohio State,L,0,7,,,
1919,10/11,@,Purdue,W,14,7,,,
1919,10/18,vs.,Iowa,W,9,7,,,
1919,10/25,vs.,Wisconsin,L,10,14,,,
1919,11/1,vs.,Chicago,W,10,0,,,
1919,11/8,@,Minnesota,W,10,6,,,
1919,11/15,vs.,Michigan,W,29,7,,,
1919,11/22,@,Ohio State,W,9,7,,,
1918,10/4,@,Chanute Field,W,3,0,,,
1918,10/12,vs.,Great Lakes Navy,L,0,7,,,
1918,10/26,vs.,Chicago Naval Reserve,L,0,7,,,
1918,11/2,@,Iowa,W,19,0,,,
1918,11/9,@,Wisconsin,W,22,0,,,
1918,11/16,vs.,Ohio State,W,13,0,,,
1918,11/23,@,Chicago,W,29,0,,,
1917,10/6,vs.,Kansas,W,22,0,,,
1917,10/13,vs.,Oklahoma,W,44,0,,,
1917,10/20,vs.,Wisconsin,W,7,0,,,
1917,10/27,vs.,Purdue,W,27,0,,,
1917,11/3,@,Chicago,T,0,0,,,
1917,11/17,@,Ohio State,L,0,13,,,
1917,11/24,vs.,Minnesota,L,6,27,,,
1917,11/29,@,Camp Funston,W,28,0,,,
1916,10/7,vs.,Kansas,W,30,0,,,
1916,10/14,vs.,Colgate,L,3,15,,,
1916,10/21,vs.,Ohio State,L,6,7,,,
1916,10/28,@,Purdue,W,14,7,,,
1916,11/11,@,Minnesota,W,14,9,,,
1916,11/18,vs.,Chicago,L,7,20,,,
1916,11/25,@,Wisconsin,T,0,0,,,
1915,10/2,vs.,Haskell,W,36,0,,,
1915,10/9,vs.,Missouri-Rolla,W,75,7,,,
1915,10/16,@,Ohio State,T,3,3,,,
1915,10/23,vs.,Northwestern,W,36,6,,,
1915,11/6,vs.,Minnesota,T,6,6,,,
1915,11/13,vs.,Wisconsin,W,17,3,,,
1915,11/20,@,Chicago,W,10,0,,,
1914,10/3,vs.,Christian Brothers,W,37,0,,,
1914,10/10,vs.,Indiana,W,51,0,,,
1914,10/17,vs.,Ohio State,W,37,0,,,
1914,10/24,@,Northwestern,W,33,0,,,
1914,10/31,@,Minnesota,W,21,6,,,
1914,11/14,vs.,Chicago,W,21,7,,,
1914,11/21,@,Wisconsin,W,24,9,,,
1913,10/4,vs.,Kentucky,W,21,0,,,
1913,10/11,vs.,Missouri,W,24,7,,,
1913,10/18,vs.,Northwestern,W,37,0,,,
1913,10/25,@,Indiana,W,10,0,,,
1913,11/1,@,Chicago,L,7,28,,,
1913,11/15,vs.,Purdue,T,0,0,,,
1913,11/22,vs.,Minnesota,L,9,19,,,
1912,10/5,vs.,Illinois Wesleyan,W,87,3,,,
1912,10/12,vs.,Washington,W,13,0,,,
1912,10/19,vs.,Indiana,W,13,7,,,
1912,11/2,@,Minnesota,L,0,13,,,
1912,11/9,@,Purdue,T,9,9,,,
1912,11/16,vs.,Chicago,L,0,10,,,
1912,11/23,@,Northwestern,L,0,6,,,
1911,10/7,vs.,James Millikin,W,33,0,,,
1911,10/14,vs.,St. Louis,W,9,0,,,
1911,10/21,@,Chicago,L,0,24,,,
1911,11/4,vs.,Purdue,W,12,3,,,
1911,11/11,@,Indiana,T,0,0,,,
1911,11/18,vs.,Northwestern,W,27,13,,,
1911,11/25,vs.,Minnesota,L,0,11,,,
1910,10/1,vs.,James Millikin,W,13,0,,,
1910,10/8,vs.,Drake,W,29,0,,,
1910,10/15,vs.,Chicago,W,3,0,,,
1910,10/29,@,Purdue,W,11,0,,,
1910,11/5,@,Indiana,W,3,0,,,
1910,11/12,@,Northwestern,W,27,0,,,
1910,11/19,vs.,Syracuse,W,3,0,,,
1909,10/2,vs.,James Millikin,W,23,0,,,
1909,10/9,vs.,Kentucky,L,2,6,,,
1909,10/16,@,Chicago,L,8,14,,,
1909,10/30,vs.,Purdue,W,24,6,,,
1909,11/6,vs.,Indiana,W,6,5,,,
1909,11/13,@,Northwestern,W,35,0,,,
1909,11/20,@,Syracuse,W,17,8,,,
1908,10/3,vs.,Monmouth,W,17,6,,,
1908,10/10,vs.,Marquette,T,6,6,,,
1908,10/17,@,Chicago,L,6,11,,,
1908,10/31,vs.,Indiana,W,10,0,,,
1908,11/7,vs.,Iowa,W,22,0,,,
1908,11/14,@,Purdue,W,15,6,,,
1908,11/21,vs.,Northwestern,W,64,8,,,
1907,10/19,vs.,Chicago,L,6,42,,,
1907,10/26,@,Wisconsin,W,15,4,,,
1907,11/2,vs.,Purdue,W,21,4,,,
1907,11/9,@,Iowa,L,12,25,,,
1907,11/22,@,Indiana,W,10,6,,,
1906,10/13,vs.,Wabash,T,0,0,,,
1906,10/27,@,Michigan,L,9,28,,,
1906,11/10,vs.,Wisconsin,L,6,16,,,
1906,11/17,@,Chicago,L,0,63,,,
1906,11/25,@,Purdue,W,5,0,,,
1905,9/30,vs.,Knox,W,6,0,,,
1905,10/4,vs.,Wabash,W,6,0,,,
1905,10/7,vs.,North Central,W,24,0,,,
1905,10/14,vs.,St. Louis,W,12,6,,,
1905,10/21,vs.,Purdue,L,0,29,,,
1905,10/28,vs.,Physicians & Surgeons,W,30,0,,,
1905,11/4,vs.,Michigan,L,0,33,,,
1905,11/18,@,Chicago,L,0,44,,,
1905,11/30,@,Nebraska,L,6,24,,,
1904,9/24,vs.,North Central,W,10,0,,,
1904,9/28,vs.,Wabash,W,23,2,,,
1904,10/1,vs.,Knox,W,11,0,,,
1904,10/5,vs.,Physicians & Surgeons,W,26,0,,,
1904,10/8,@,Washington,W,31,0,,,
1904,10/15,vs.,Indiana,W,10,0,,,
1904,10/22,@,Purdue,W,24,6,,,
1904,10/29,@,Chicago,T,6,6,,,
1904,11/5,@,Ohio State,W,46,0,,,
1904,11/12,@,Northwestern,L,6,12,,,
1904,11/19,vs.,Iowa,W,29,0,,,
1904,11/24,@,Nebraska,L,10,16,,,
1903,9/19,vs.,Englewood High,W,45,5,,,
1903,9/26,vs.,Lombard,W,43,0,,,
1903,9/30,vs.,American Osteopath,W,36,0,,,
1903,10/3,vs.,Knox,W,29,5,,,
1903,10/7,vs.,Physicians & Surgeons,W,40,0,,,
1903,10/10,vs.,Rush Medical,W,64,0,,,
1903,10/14,vs.,Chicago Dental,W,54,0,,,
1903,10/17,@,Purdue,W,24,0,,,
1903,10/24,@,Chicago,L,6,18,,,
1903,10/31,vs.,Northwestern,L,11,12,,,
1903,11/6,@,Indiana,L,0,17,,,
1903,11/14,vs.,Minnesota,L,0,32,,,
1903,11/21,@,Iowa,L,0,12,,,
1903,11/26,@,Nebraska,L,0,16,,,
1902,9/20,vs.,North Division High,W,34,6,,,
1902,9/27,vs.,Englewood High,W,45,0,,,
1902,10/1,vs.,American Osteopath,W,22,0,,,
1902,10/4,vs.,Monmouth,W,33,0,,,
1902,10/8,vs.,Haskell,W,24,10,,,
1902,10/11,vs.,Washington,W,44,0,,,
1902,10/18,vs.,Purdue,W,29,5,,,
1902,10/25,@,Chicago,L,0,6,,,
1902,11/1,vs.,Indiana,W,47,0,,,
1902,11/8,@,Minnesota,L,5,17,,,
1902,11/15,@,Ohio State,T,0,0,,,
1902,11/22,@,Northwestern,W,17,0,,,
1902,11/27,vs.,Iowa,W,80,0,,,
1901,9/28,vs.,Englewood High,W,39,0,,,
1901,10/5,vs.,Marion Sims,W,52,0,,,
1901,10/11,vs.,Physicians & Surgeons,W,23,0,,,
1901,10/12,vs.,Washington,W,21,0,,,
1901,10/19,@,Chicago,W,24,0,,,
1901,10/26,vs.,Northwestern,L,11,17,,,
1901,11/2,vs.,Indiana,W,18,0,@ Indianapolis, IN,
1901,11/9,@,Iowa,W,27,0,,,
1901,11/16,@,Purdue,W,28,6,,,
1901,11/28,vs.,Minnesota,L,0,16,,,
1900,9/29,vs.,Rose-Hulman,W,26,0,,,
1900,10/3,vs.,DePauw,W,63,0,,,
1900,10/6,vs.,Illinois Wesleyan,W,21,0,,,
1900,10/10,vs.,Physicians & Surgeons,W,6,0,,,
1900,10/13,vs.,Knox,W,16,0,,,
1900,10/16,vs.,Lombard,W,35,0,,,
1900,10/20,@,Northwestern,T,0,0,,,
1900,10/27,vs.,Michigan,L,0,12,@ Chicago, IL,
1900,11/3,vs.,Purdue,W,17,5,,,
1900,11/10,@,Minnesota,L,0,23,,,
1900,11/17,vs.,Indiana,T,0,0,@ Indianapolis, IN,
1900,11/24,@,Wisconsin,L,0,27,,,
1899,9/30,vs.,Illinois Wesleyan,W,6,0,,,
1899,10/7,@,Knox,W,5,0,,,
1899,10/14,vs.,Indiana,L,0,5,,,
1899,10/28,vs.,Michigan,L,0,5,,,
1899,11/6,vs.,Illinois Alumni,T,0,0,,,
1899,11/11,vs.,Wisconsin,L,0,23,@ Milwaukee, WI,
1899,11/22,vs.,Purdue,L,0,5,,,
1899,11/25,@,St. Louis,W,29,0,,,
1899,11/30,vs.,Iowa,L,0,58,@ Rock Island, IL,
1898,9/28,vs.,Illinois Wesleyan,W,18,0,,,
1898,10/1,vs.,Physicians & Surgeons,L,6,11,,,
1898,10/8,vs.,Notre Dame,L,0,5,,,
1898,10/15,vs.,DePauw,W,16,0,,,
1898,10/22,vs.,Illinois Alumni,W,10,6,,,
1898,11/4,vs.,Illinois Alumni,L,17,23,,,
1898,11/12,vs.,Michigan,L,5,12,@ Detroit, MI,
1898,11/19,vs.,Carlisle,L,0,11,@ Chicago, IL,
1898,11/24,vs.,Minnesota,W,11,10,,,
1897,10/2,vs.,Eureka,W,26,0,,,
1897,10/9,vs.,Physicians & Surgeons,W,6,0,,,
1897,10/16,vs.,Lake Forest,W,36,0,,,
1897,10/23,vs.,Purdue,W,34,4,,,
1897,10/30,vs.,Chicago,L,12,18,,,
1897,11/12,vs.,Knox,W,64,0,,,
1897,11/20,vs.,Carlisle,L,6,23,@ Chicago, IL,
1897,11/25,vs.,Eureka,W,6,0,@ Peoria, IL,
1896,10/3,vs.,Lake Forest,W,38,0,,,
1896,10/10,vs.,Knox,W,70,4,,,
1896,10/17,vs.,Missouri,W,10,0,@ St. Louis, MO,
1896,10/21,vs.,Oberlin,W,22,6,,,
1896,10/31,@,Chicago,L,0,12,,,
1896,11/7,vs.,Northwestern,L,4,10,,,
1896,11/25,@,Purdue,T,4,4,,,
1895,10/5,vs.,Wabash,W,48,0,,,
1895,10/12,@,Chicago A.C.,L,0,8,,,
1895,10/19,vs.,Illinois College,W,79,0,,,
1895,10/26,@,Wisconsin,T,10,10,,,
1895,11/2,vs.,Lake Forest,W,38,0,,,
1895,11/23,vs.,Northwestern,W,38,4,,,
1895,11/28,@,Purdue,L,2,6,,,
1894,10/6,@,Wabash,W,36,6,,,
1894,10/13,@,Chicago A.C.,L,0,14,,,
1894,10/20,vs.,Lake Forest,W,54,6,,,
1894,11/3,vs.,Northwestern,W,66,0,,,
1894,11/17,vs.,Purdue,L,2,22,,,
1894,11/24,vs.,Indianapolis Artillery,L,14,18,,,
1894,11/29,vs.,Pastime A.C.,W,10,0,@ St. Louis, MO,
1893,9/30,vs.,Wabash,W,60,6,,,
1893,10/7,@,DePauw,W,14,4,,,
1893,10/21,@,Northwestern,T,0,0,,,
1893,10/28,vs.,Chicago A.C.,L,4,10,,,
1893,11/6,vs.,Oberlin,L,24,34,,,
1893,11/11,vs.,Pastime A.C.,W,18,16,@ St. Louis, MO,
1893,11/25,@,Purdue,T,26,26,,,
1893,11/30,vs.,Lake Forest,T,10,10,,,
1892,10/8,vs.,Purdue,L,6,12,,,
1892,10/12,vs.,Northwestern,T,16,16,,,
1892,10/21,@,Washington,W,22,0,,,
1892,10/22,vs.,Doane,W,20,0,@ Omaha, NE,
1892,10/24,@,Nebraska,L,0,6,,,
1892,10/26,@,Baker,W,26,10,,,
1892,10/27,@,Kansas,L,4,26,,,
1892,10/29,@,Kansas City A.C.,W,42,0,,,
1892,11/5,vs.,Englewood High,W,38,0,,,
1892,11/16,@,Chicago,L,4,10,,,
1892,11/18,vs.,DePauw,W,34,0,,,
1892,11/24,vs.,Chicago,W,28,12,,,
